City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Wasilla,US,61.5814,-149.4394,58.84,85,90,0.0,overcast clouds
173,Kokopo,PG,-4.352,152.2633,76.21,88,11,5.61,few clouds
174,Aksarka,RU,66.5606,67.7975,67.3,64,56,7.54,broken clouds
175,Kavieng,PG,-2.5744,150.7967,81.14,75,57,3.36,broken clouds
176,Ailigandi,PA,9.2333,-78.0167,84.51,68,68,5.3,broken clouds
177,Manbij,SY,36.5281,37.9549,97.57,18,34,20.76,scattered clouds
178,Dukat,RU,62.55,155.55,31.84,99,100,2.75,light snow
179,Corinto,GR,37.9407,22.9573,98.42,31,28,5.19,scattered clouds
180,Rio Grande,BR,-32.035,-52.0986,57.31,80,98,6.82,overcast clouds
181,Dingle,PH,10.9995,122.6711,78.31,89,73,8.59,light rain
182,Banswada,IN,18.3833,77.8833,77.74,77,98,10.67,overcast clouds
183,Glossop,GB,53.4432,-1.949,71.37,66,17,7.47,few clouds
184,Kalmunai,LK,7.4167,81.8167,82.51,75,97,5.26,overcast clouds
185,Killybegs,IE,54.6333,-8.45,62.46,66,98,5.03,overcast clouds
186,Ucluelet,CA,48.9329,-125.5528,77.04,82,79,3.87,broken clouds
187,Tevaitoa,PF,-16.7833,-151.5,78.53,79,63,13.35,light rain
188,Ierapetra,GR,35.01,25.7353,93.43,36,0,8.63,clear sky
189,Beroroha,MG,-21.6667,45.1667,72.66,50,16,14.23,few clouds
190,Mandera,KE,3.9366,41.867,87.69,33,82,13.31,broken clouds
191,Vuktyl,RU,63.8567,57.3094,64.51,95,53,5.21,broken clouds
192,Egvekinot,RU,66.3167,-179.1667,49.51,90,99,10.04,overcast clouds
193,Kruisfontein,ZA,-34.0033,24.7314,59.88,95,99,3.53,overcast clouds
194,Ballina,AU,-28.8667,153.5667,48.78,67,0,10.09,clear sky
195,Sioux Lookout,CA,50.1001,-91.917,88.07,23,94,12.48,overcast clouds
196,Belaya Gora,RU,68.5333,146.4167,43.66,56,82,10.63,broken clouds
197,Kristinehamn,SE,59.3098,14.1081,73.38,42,33,3.42,scattered clouds
198,Menongue,AO,-14.6585,17.691,69.3,21,0,5.55,clear sky
199,Tual,ID,-5.6667,132.75,80.78,76,100,17.54,light rain
200,Nioro,GM,13.35,-15.75,85.24,71,100,8.66,overcast clouds
201,Ilulissat,GL,69.2167,-51.1,48.22,76,1,4.61,clear sky
202,Esna,EG,25.2934,32.554,102.6,9,65,9.82,broken clouds
203,Henties Bay,NA,-22.116,14.2845,57.85,79,16,7.94,few clouds
204,Juneau,US,58.3019,-134.4197,59.85,96,90,0.0,light rain
205,Hay River,CA,60.8156,-115.7999,56.1,54,95,4.41,overcast clouds
206,Kattivakkam,IN,13.2167,80.3167,89.69,62,100,7.85,overcast clouds
207,Guerrero Negro,MX,27.9769,-114.0611,79.09,57,3,5.37,clear sky
208,Changde,CN,29.0464,111.6783,77.79,89,0,6.29,clear sky
209,Vostok,RU,46.4856,135.8833,63.14,95,58,4.76,broken clouds
210,Agadir,MA,30.4202,-9.5982,77.45,68,11,6.49,few clouds
211,Naze,JP,28.3667,129.4833,78.15,87,99,16.2,overcast clouds
212,Petatlan,MX,17.5167,-101.2667,89.4,60,100,4.5,overcast clouds
213,Bay Roberts,CA,47.5999,-53.2648,75.65,64,68,8.01,broken clouds
214,Oranjemund,NA,-28.55,16.4333,56.44,83,23,3.49,few clouds
215,Longyearbyen,SJ,78.2186,15.6401,46.24,66,75,14.97,broken clouds
216,Marshfield,US,44.6689,-90.1718,80.44,53,1,6.91,clear sky
217,Aleksandrovskoye,RU,44.7142,43.0008,87.94,37,81,3.47,light rain
218,Sinnamary,GF,5.3833,-52.95,84.25,66,13,4.99,few clouds
219,Coquimbo,CL,-29.9533,-71.3436,60.53,72,40,11.5,scattered clouds
220,Moose Factory,CA,51.2585,-80.6094,79.11,25,29,11.1,scattered clouds
221,Lolodorf,CM,3.2333,10.7333,73.67,95,85,2.57,light rain
222,Broken Hill,AU,-31.95,141.4333,46.9,89,20,9.06,few clouds
223,Morganton,US,35.7454,-81.6848,81.59,61,75,1.99,broken clouds
224,Port Hardy,CA,50.6996,-127.4199,65.44,82,47,3.02,scattered clouds
225,Half Moon Bay,US,37.4636,-122.4286,74.91,77,40,4.61,scattered clouds
226,Mnogovershinnyy,RU,53.9353,139.9242,50.52,99,100,2.42,overcast clouds
227,Znamenskoye,RU,57.1281,73.8282,58.73,92,60,4.72,broken clouds
228,Oistins,BB,13.0667,-59.5333,87.89,62,40,18.41,scattered clouds
229,Saint George,US,37.1041,-113.5841,95.34,21,2,1.99,clear sky
230,Mount Isa,AU,-20.7333,139.5,55.17,33,6,14.97,clear sky
231,Paracuru,BR,-3.41,-39.0306,86.02,51,21,15.86,few clouds
232,Torbay,CA,47.6666,-52.7314,74.88,59,83,19.57,broken clouds
233,Richards Bay,ZA,-28.783,32.0377,66.67,77,0,10.25,clear sky
234,Yichang,CN,30.7144,111.2847,80.78,77,2,3.53,light rain
235,Adrar,MR,20.5022,-10.0711,106.61,11,7,15.1,clear sky
236,Murgab,TM,37.4966,61.9714,89.47,29,29,4.61,scattered clouds
237,Katsuura,JP,35.1333,140.3,78.91,86,10,1.88,clear sky
238,Veraval,IN,20.9,70.3667,81.64,85,99,17.98,overcast clouds
239,Komsomolskiy,UZ,40.4272,71.7189,86.72,20,73,13.8,broken clouds
240,Sorland,NO,67.667,12.6934,53.67,88,99,20.11,overcast clouds
241,Lucea,JM,18.451,-78.1736,86.86,64,81,3.18,broken clouds
242,Varia,FR,44.5725,-0.1104,72.05,68,67,16.13,broken clouds
243,Flin Flon,CA,54.7682,-101.865,70.61,64,93,12.68,overcast clouds
244,Mali,GN,12.079,-12.2982,67.8,86,77,3.91,light rain
245,Itapetinga,BR,-15.2489,-40.2478,76.78,46,100,8.7,overcast clouds
246,Naryan-Mar,RU,67.6713,53.087,68.54,62,74,6.98,broken clouds
247,Morondava,MG,-20.2833,44.2833,74.03,73,9,8.43,clear sky
248,San Cristobal,VE,7.7669,-72.225,75.2,68,95,6.93,overcast clouds
249,Cardston,CA,49.2,-113.3019,66.81,18,19,2.51,few clouds
250,Oum Hadjer,TD,13.2954,19.6966,85.89,58,74,0.85,broken clouds
251,Meulaboh,ID,4.1363,96.1285,77.14,88,91,5.41,overcast clouds
252,Gunjur,GM,13.2019,-16.7339,86.07,74,40,11.5,scattered clouds
253,Saint-Philippe,RE,-21.3585,55.7679,67.55,79,94,15.57,light rain
254,Atar,MR,20.5169,-13.0499,104.41,19,3,5.44,clear sky
255,Trat,TH,12.5,102.5,76.19,96,100,3.42,overcast clouds
256,Tselinnoye,RU,53.0833,85.6667,59.67,81,34,4.16,scattered clouds
257,Smithers,CA,54.7804,-127.1743,65.95,71,100,2.64,overcast clouds
258,Buala,SB,-8.145,159.5921,78.42,85,58,6.6,light rain
259,Quchan,IR,37.106,58.5095,78.17,24,3,11.72,clear sky
260,Gobindapur,IN,22.5931,88.0914,82.35,89,100,4.68,light rain
261,Andenes,NO,69.3143,16.1194,55.08,93,75,11.5,light intensity drizzle
262,Nantucket,US,41.2835,-70.0995,74.01,87,75,6.91,moderate rain
263,Maragogi,BR,-9.0122,-35.2225,76.15,82,79,12.77,broken clouds
264,Bairiki,KI,1.3292,172.9752,77.0,88,75,0.0,broken clouds
265,Constantine,DZ,36.365,6.6147,86.5,49,34,13.11,scattered clouds
266,Torrington,US,41.8007,-73.1212,75.69,69,100,1.99,overcast clouds
267,Vavoua,CI,7.3819,-6.4778,75.7,92,100,4.09,moderate rain
268,Snasa,NO,64.2457,12.3778,60.21,58,99,4.25,overcast clouds
269,Shu,KZ,43.5983,73.7614,83.25,26,4,13.24,clear sky
270,Aranos,NA,-24.1333,19.1167,69.37,19,6,9.95,clear sky
271,Codrington,AU,-38.2667,141.9667,49.86,90,31,11.7,scattered clouds
272,Constitucion,CL,-35.3333,-72.4167,58.95,73,30,13.18,scattered clouds
273,Anori,BR,-3.7728,-61.6442,97.39,33,27,2.51,scattered clouds
274,Havoysund,NO,70.9963,24.6622,50.88,88,100,17.25,overcast clouds
275,Kununurra,AU,-15.7667,128.7333,73.38,27,39,9.22,scattered clouds
276,Vieques,PR,18.425,-65.8329,89.01,78,40,10.36,thunderstorm
277,Labuhan,ID,-6.8844,112.2051,78.21,83,11,6.67,few clouds
278,Auki,SB,-8.7676,160.7034,74.25,87,5,4.18,clear sky
279,Ambunti,PG,-4.2365,142.8448,72.84,99,50,0.83,scattered clouds
280,Buchanan,LR,5.8808,-10.0467,80.56,77,84,10.49,light rain
281,Pascagoula,US,30.3658,-88.5561,89.65,62,90,8.05,overcast clouds
282,Baruun-Urt,MN,46.6806,113.2792,54.72,91,95,6.73,overcast clouds
283,Jiaohe,CN,43.7286,127.3447,67.3,97,85,3.65,overcast clouds
284,Bertoua,CM,4.5833,13.6833,73.35,88,30,1.77,light rain
285,Okha,RU,53.5739,142.9478,53.91,89,100,13.2,overcast clouds
286,Heidelberg,ZA,-26.5048,28.3592,60.71,31,0,3.67,clear sky
287,Mar Del Plata,AR,-38.0023,-57.5575,61.88,57,0,1.01,clear sky
288,Kieta,PG,-6.2167,155.6333,77.56,85,20,4.23,few clouds
289,Padang,ID,-0.9492,100.3543,77.05,85,94,3.69,overcast clouds
290,Ustka,PL,54.5805,16.8619,65.5,60,8,8.41,clear sky
291,Lorengau,PG,-2.0226,147.2712,79.9,80,75,1.77,broken clouds
292,Hoi An,VN,15.8794,108.335,89.56,70,100,8.99,overcast clouds
293,Vanimo,PG,-2.6741,141.3028,77.81,85,92,2.77,overcast clouds
294,Acheng,CN,45.5454,126.977,67.55,97,7,9.33,clear sky
295,Esqueda,MX,30.7167,-109.5833,85.39,40,1,1.63,clear sky
296,Aklavik,CA,68.2191,-135.0107,59.56,42,40,9.28,scattered clouds
297,Hualmay,PE,-11.0964,-77.6139,68.14,73,49,6.38,scattered clouds
298,Ankazobe,MG,-18.3167,47.1167,59.41,84,70,8.23,broken clouds
299,Axim,GH,4.8699,-2.2405,79.38,79,73,10.85,light rain
300,Beisfjord,NO,68.3751,17.5988,54.97,92,98,3.89,overcast clouds
